# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKA1W8 0 0 650 -10 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.80 6.07 11.48 1.9 2.2e+03 0.09 26.5853 61 2.7e+02 1.6e+02
SKA1W8-C9B120 0 0 650 -50 1.0-2.0arcsec 2 natural 0 1.6 13.52 8.62 18.59 6.56 2.9 4.7 0.05 1.2170 90 1.2e+02 65
SKA1W8-V2 0 0 650 -30 1.0-2.0arcsec 2 natural 0 1.5 13.52 9.23 15.68 7.14 2.7 4.9 0.06 1.2465 84 1.4e+02 75
SKA1W8-V2 0 0 650 -50 3.0-4.0arcsec 4 natural 0 3.5 13.52 3.82 65.72 3.49 6.4 35 0.10 3.3241 2e+02 24 14
SKASUR 0 0 650 -30 3.0-4.0arcsec 4 natural 0 9.8 13.52 1.38 347.93 1.52 18 35 0.02 3.3400 5.6e+02 34 43
SKA1V8 0 0 1400 -10 0.4-2.0arcsec 1 natural 0 0.75 7.90 10.47 8.92 9.47 1.4 1.8 0.05 0.7583 43 38 96
SKASUR 0 0 1400 -10 0.4-2.0arcsec 1 natural 0 2.8 7.90 2.84 110.24 2.69 5.1 2.7 0.24 0.9435 1.6e+02 1.5e+02 1.4e+02
SKA1W8-12C0B120 0 0 1000 -30 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.26 14.69 7.38 2.9 76 0.06 4.9220 92 27 64
SKA1W8-12C0B120 0 0 800 -30 10.0-60.0arcmin 8 natural 0 6.4 11.69 1.82 258.22 1.76 12 2e+06 0.01 791.7114 3.7e+02 3.5 5.7
SKASUR1 0 0 1400 -10 1.0-2.0arcsec 2 natural 0 4.7 7.90 1.69 270.11 1.72 8.5 5.6 0.14 1.3409 2.7e+02 51 57
SKA1V8-C9B120 0 0 650 -30 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.92 8.44 9.74 2.5 3.7 0.09 1.0909 78 1.6e+02 97
SKA1V8-C9B120 0 0 650 -50 3.0-4.0arcsec 4 natural 0 2.9 13.52 4.72 46.68 4.14 5.2 35 0.04 3.3372 1.7e+02 36 21
SKA1V8 0 0 1400 -50 2.0-3.0arcsec 3 natural 0 1.6 7.90 4.95 36.79 4.66 2.9 17 0.05 2.3567 92 8.6 26
SKA1V8 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 1.9 10.00 5.16 20.84 6.20 3.5 5.6 0.06 1.3383 1.1e+02 18 45
SKASUR1 0 0 650 -10 10.0-60.0arcsec 6 natural 0 3 13.52 4.58 55.01 3.81 5.4 1.1e+03 0.14 18.9476 1.7e+02 3.8e+02 2.8e+02
SKA1W8-V2 0 0 650 -10 1.0-2.0arcsec 2 natural 0 1.4 13.52 9.41 15.46 7.19 2.6 5 0.05 1.2592 83 1.4e+02 78
SKASUR 0 0 1000 -10 3.0-10.0arcsec 5 natural 0 2.5 10.00 4.06 65.00 3.51 4.5 90 0.03 5.3394 1.4e+02 3e+02 2.3e+02
SKASUR 0 0 800 -10 0.4-2.0arcsec 1 natural 0 5.2 11.69 2.23 110.24 2.69 9.5 5.3 0.25 1.3112 3e+02 90 1.4e+02
SKASUR1 0 0 650 -50 1.0-2.0arcsec 2 natural 0 11 13.52 1.26 290.66 1.66 20 11 0.44 1.9124 6.2e+02 28 54
SKA1W8-V2 0 0 1000 -30 2.0-3.0arcsec 3 natural 0 3 10.00 3.37 37.45 4.62 5.4 18 0.05 2.3772 1.7e+02 7.8 27
SKASUR1 0 0 650 -10 0.4-1.0arcsec 0 natural 0 90 13.52 0.15 1398.98 0.76 1.6e+02 3.7 0.56 1.1767 5.2e+03 0.4 15
SKASUR1 0 0 1000 -50 10.0-100.0arcsec 7 natural 0 2.5 10.00 3.94 53.78 3.86 4.6 8.9e+02 0.10 16.8670 1.5e+02 2.8e+02 2.9e+02
SKA1W8-C9B120 0 0 650 -30 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.64 6.65 10.97 1.9 1.9e+03 0.01 24.7031 62 2.6e+02 1.5e+02
SKA1V8 0 0 800 -10 1.0-2.0arcsec 2 natural 0 2 11.69 5.90 20.84 6.20 3.6 5.8 0.03 1.3576 1.1e+02 37 45
SKASUR1 0 0 800 -50 10.0-100.0arcsec 7 natural 0 3 11.69 3.85 53.78 3.86 5.5 1e+03 0.13 18.3050 1.7e+02 2.7e+02 2.9e+02
SKA1W8 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 1.1 10.00 9.20 6.70 10.93 2 1.6 0.09 0.7183 63 58 1.3e+02
SKA1W8-V2 0 0 1400 -50 10.0-60.0arcmin 8 natural 0 7.5 7.90 1.05 250.66 1.79 14 1.6e+06 0.03 717.3603 4.3e+02 0.39 5.8
SKASUR1 0 0 650 -30 10.0-100.0arcsec 7 natural 0 2.9 13.52 4.70 53.86 3.85 5.2 1.2e+03 0.17 19.8426 1.7e+02 4e+02 2.8e+02
SKA1W8-V2 0 0 800 -50 3.0-10.0arcsec 5 natural 0 1.7 11.69 7.07 15.40 7.21 3 77 0.07 4.9587 95 54 60
SKA1V8 0 0 1400 -10 3.0-10.0arcsec 5 natural 0 0.9 7.90 8.83 12.07 8.14 1.6 87 0.05 5.2599 52 27 75
SKA1V8-C9B120 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 8.3 10.00 1.20 260.61 1.75 15 1.9e+06 0.03 776.2459 4.8e+02 0.99 5.6
SKASUR1 0 0 1400 -10 3.0-10.0arcsec 5 natural 0 2.5 7.90 3.14 82.59 3.11 4.6 95 0.09 5.5125 1.5e+02 1.8e+02 1.8e+02
SKA1V8-C9B120 0 0 1400 -10 3.0-4.0arcsec 4 natural 0 1.8 7.90 4.32 46.57 4.14 3.3 35 0.04 3.3509 1.1e+02 6.5 20
SKA1V8 0 0 650 -50 2.0-3.0arcsec 3 natural 0 2.6 13.52 5.27 36.79 4.66 4.7 17 0.07 2.3590 1.5e+02 45 26
SKA1W8-C9B120 0 0 800 -30 3.0-4.0arcsec 4 natural 0 3.4 11.69 3.43 62.13 3.59 6.2 36 0.10 3.3723 2e+02 13 15
SKASUR1 0 0 650 -50 10.0-100.0arcsec 7 natural 0 2.9 13.52 4.72 53.78 3.86 5.2 1.3e+03 0.15 20.0747 1.6e+02 4e+02 2.9e+02
SKA1W8-C9B120 0 0 1400 -30 10.0-60.0arcsec 6 natural 0 0.79 7.90 9.97 8.68 9.60 1.4 1.5e+03 0.03 21.7056 46 35 1.1e+02
SKA1W8-C9B120 0 0 800 -30 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.89 6.28 11.28 2 2.1 0.12 0.8221 62 1.3e+02 1.5e+02
SKASUR1 0 0 1000 -10 10.0-60.0arcmin 8 natural 0 57 10.00 0.18 16917.25 0.22 1e+02 2.6e+06 0.16 914.7249 3.3e+03 0.55 0.99
SKA1W8 0 0 650 -10 1.0-2.0arcsec 2 natural 0 1.6 13.52 8.61 18.34 6.60 2.9 4.9 0.09 1.2495 90 1.2e+02 65
SKA1V8-C9B120 0 0 650 -50 10.0-100.0arcsec 7 natural 0 0.99 13.52 13.60 5.88 11.66 1.8 1.7e+03 0.03 23.4775 57 3e+02 1.7e+02
SKA1W8 0 0 1400 -10 1.0-2.0arcsec 2 natural 0 1.3 7.90 5.91 18.34 6.60 2.4 5.5 0.06 1.3288 77 12 65
SKA1V8 0 0 1000 -50 0.4-1.0arcsec 0 natural 0 1.7 10.00 6.02 16.55 6.95 3 1.1 0.07 0.5810 96 25 50
SKA1W8-12C0B120 0 0 1400 -30 10.0-60.0arcsec 6 natural 0 0.75 7.90 10.50 8.47 9.72 1.4 1.7e+03 0.00 22.9882 43 39 1.1e+02
SKA1V8-C9B120 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7.2 7.90 1.10 234.48 1.85 13 1.7e+06 0.02 726.4514 4.1e+02 0.43 6.2
SKA1W8-V2 0 0 1000 -50 10.0-100.0arcsec 7 natural 0 1.1 10.00 9.38 6.27 11.30 1.9 2.8e+03 0.02 29.6895 61 60 1.5e+02
SKA1V8-C9B120 0 0 800 -30 0.4-1.0arcsec 0 natural 0 1.9 11.69 6.29 17.34 6.79 3.4 1.6 0.09 0.7099 1.1e+02 42 40
SKASUR 0 0 800 -30 3.0-10.0arcsec 5 natural 0 3.5 11.69 3.33 63.26 3.56 6.4 99 0.01 5.6205 2e+02 2e+02 2.3e+02
SKA1V8-C9B120 0 0 1000 -10 10.0-100.0arcsec 7 natural 0 1.1 10.00 9.51 5.90 11.65 1.9 1.8e+03 0.02 23.8603 61 62 1.7e+02
SKASUR1 0 0 1000 -30 3.0-4.0arcsec 4 natural 0 6.5 10.00 1.54 456.51 1.32 12 35 0.12 3.3396 3.7e+02 43 32
SKASUR1 0 0 650 -30 10.0-60.0arcmin 8 natural 0 49 13.52 0.27 19257.87 0.20 90 3.6e+06 0.37 1096.9757 2.8e+03 1.4 0.86
SKA1W8-12C0B120 0 0 800 -50 10.0-60.0arcsec 6 natural 0 1.3 11.69 9.29 8.53 9.68 2.3 1.3e+03 0.04 20.5454 73 93 1.1e+02
SKA1W8 0 0 650 -10 2.0-3.0arcsec 3 natural 0 2.8 13.52 4.81 46.14 4.16 5.1 17 0.12 2.3575 1.6e+02 38 21
SKA1W8-V2 0 0 650 -30 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.56 259.26 1.76 9.6 2.1e+06 0.01 814.6447 3e+02 11 5.6
SKA1W8-12C0B120 0 0 650 -10 10.0-60.0arcmin 8 natural 0 5 13.52 2.68 234.53 1.85 9.2 2.1e+06 0.02 818.8186 2.9e+02 12 6.2
SKA1W8 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 1.1 10.00 9.34 6.75 10.89 2 1.6 0.11 0.7124 62 60 1.3e+02
SKASUR 0 0 1000 -10 0.4-1.0arcsec 0 natural 0 5.3 10.00 1.90 362.42 1.49 9.6 2.2 0.31 0.8418 3e+02 65 49
SKA1W8-C9B120 0 0 650 -30 0.4-1.0arcsec 0 natural 0 1.5 13.52 9.28 9.54 9.16 2.7 2 0.16 0.8035 84 1.4e+02 87
SKASUR1 0 0 800 -50 3.0-4.0arcsec 4 natural 0 9.5 11.69 1.23 431.75 1.36 17 35 0.05 3.3217 5.5e+02 27 34
SKA1W8 0 0 1400 -10 0.4-1.0arcsec 0 natural 0 0.79 7.90 10.06 10.78 8.61 1.4 0.88 0.09 0.5308 45 35 71
SKASUR1 0 0 800 -10 10.0-60.0arcsec 6 natural 0 3.1 11.69 3.83 55.01 3.81 5.6 9.7e+02 0.13 17.5992 1.8e+02 2.6e+02 2.8e+02
SKA1W8-V2 0 0 800 -10 0.4-1.0arcsec 0 natural 0 1.4 11.69 8.15 11.16 8.47 2.6 1.7 0.06 0.7396 83 71 63
SKA1V8-C9B120 0 0 1000 -30 10.0-60.0arcsec 6 natural 0 1.2 10.00 8.57 7.29 10.48 2.1 1.2e+03 0.02 19.8630 67 50 1.4e+02
SKA1W8-V2 0 0 800 -30 3.0-4.0arcsec 4 natural 0 3.4 11.69 3.41 68.06 3.43 6.2 37 0.09 3.4368 2e+02 12 14
SKA1V8 0 0 800 -50 3.0-10.0arcsec 5 natural 0 1.5 11.69 7.85 12.00 8.16 2.7 83 0.05 5.1423 86 66 75
SKA1V8-C9B120 0 0 800 -10 1.0-2.0arcsec 2 natural 0 1.8 11.69 6.43 18.03 6.66 3.3 5.7 0.03 1.3528 1e+02 44 52
SKA1V8 0 0 1000 -30 2.0-3.0arcsec 3 natural 0 2.7 10.00 3.77 37.13 4.64 4.8 17 0.07 2.3475 1.5e+02 9.8 26
SKASUR1 0 0 1400 -30 3.0-4.0arcsec 4 natural 0 6.1 7.90 1.30 456.51 1.32 11 35 0.00 3.3464 3.5e+02 30 32
SKA1W8 0 0 800 -10 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.42 6.88 10.78 2 2.3 0.05 0.8570 65 1.2e+02 1.3e+02
SKASUR1 0 0 1400 -30 0.4-1.0arcsec 0 natural 0 6.1 7.90 1.29 1259.99 0.80 11 2.2 0.45 0.8809 3.5e+02 30 17
SKA1V8-C9B120 0 0 800 -10 3.0-4.0arcsec 4 natural 0 2.9 11.69 4.05 46.57 4.14 5.3 35 0.01 3.3266 1.7e+02 18 20
SKASUR1 0 0 650 -10 3.0-4.0arcsec 4 natural 0 11 13.52 1.26 497.51 1.27 20 36 0.06 3.3679 6.2e+02 29 30
SKASUR1 0 0 800 -10 2.0-3.0arcsec 3 natural 0 8.7 11.69 1.34 373.12 1.46 16 17 0.15 2.3354 5e+02 32 39
SKA1V8-C9B120 0 0 650 -50 1.0-2.0arcsec 2 natural 0 1.8 13.52 7.54 17.72 6.72 3.3 5.4 0.07 1.3159 1e+02 92 53
SKASUR1 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 6.4 10.00 1.55 431.75 1.36 12 35 0.17 3.3596 3.7e+02 43 34
SKA1W8-12C0B120 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 8.3 10.00 1.20 258.22 1.76 15 1.9e+06 0.03 776.1893 4.8e+02 0.98 5.7
SKA1W8-C9B120 0 0 650 -50 2.0-3.0arcsec 3 natural 0 2.8 13.52 4.89 43.27 4.30 5 17 0.07 2.3460 1.6e+02 39 22
SKA1W8-C9B120 0 0 650 -30 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.56 262.39 1.75 9.6 2.1e+06 0.00 815.3443 3e+02 11 5.6
SKA1V8-C9B120 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.4 11.69 8.45 10.48 8.74 2.5 78 0.02 4.9813 80 77 87
SKA1V8 0 0 1000 -30 0.4-1.0arcsec 0 natural 0 1.7 10.00 5.92 16.80 6.90 3.1 1.1 0.07 0.5819 97 24 49
SKA1V8-C9B120 0 0 800 -10 10.0-100.0arcsec 7 natural 0 1 11.69 11.33 5.90 11.65 1.9 1.6e+03 0.06 22.8476 59 1.4e+02 1.7e+02
SKA1W8-12C0B120 0 0 650 -50 0.4-1.0arcsec 0 natural 0 1.6 13.52 8.67 8.82 9.52 2.8 2 0.10 0.7958 90 1.2e+02 84
SKA1V8-C9B120 0 0 1000 -10 10.0-60.0arcmin 8 natural 0 7.8 10.00 1.28 234.48 1.85 14 1.9e+06 0.02 781.4315 4.5e+02 1.1 6.2
SKA1W8-V2 0 0 1400 -50 10.0-100.0arcsec 7 natural 0 0.67 7.90 11.83 6.27 11.30 1.2 2.6e+03 0.00 28.7639 38 49 1.5e+02
SKASUR 0 0 1400 -30 10.0-60.0arcmin 8 natural 0 58 7.90 0.14 16369.08 0.22 1e+02 1.8e+06 0.15 758.6642 3.3e+03 0.34 0.98
SKA1V8-C9B120 0 0 800 -50 0.4-2.0arcsec 1 natural 0 1.3 11.69 9.24 8.48 9.71 2.3 2.9 0.07 0.9676 73 92 95
SKA1V8-C9B120 0 0 650 -50 2.0-3.0arcsec 3 natural 0 2.3 13.52 5.82 31.09 5.07 4.2 17 0.07 2.3562 1.3e+02 55 31
SKA1W8-V2 0 0 1000 -30 0.4-1.0arcsec 0 natural 0 1.3 10.00 7.74 10.80 8.61 2.4 1.3 0.11 0.6392 74 41 68
SKA1W8-V2 0 0 1400 -50 10.0-60.0arcsec 6 natural 0 0.76 7.90 10.35 8.80 9.53 1.4 1.7e+03 0.01 23.2689 44 37 1e+02
SKASUR 0 0 800 -10 10.0-60.0arcsec 6 natural 0 3.8 11.69 3.06 89.82 2.98 7 8e+02 0.08 15.9577 2.2e+02 1.7e+02 1.8e+02
SKA1V8 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 3.1 10.00 3.21 55.33 3.80 5.7 36 0.10 3.3670 1.8e+02 7.1 17
SKA1W8-12C0B120 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.6 11.69 7.28 14.33 7.47 2.9 74 0.03 4.8578 93 57 66
SKA1V8-C9B120 0 0 650 -30 1.0-2.0arcsec 2 natural 0 1.8 13.52 7.63 17.54 6.75 3.2 5.5 0.05 1.3289 1e+02 95 54
SKA1V8-C9B120 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 1.2 10.00 8.36 8.48 9.71 2.2 2.2 0.07 0.8452 69 48 95
SKA1W8-V2 0 0 1400 -30 10.0-100.0arcsec 7 natural 0 0.66 7.90 12.04 6.05 11.50 1.2 2.6e+03 0.01 28.8139 38 51 1.5e+02
SKA1V8-C9B120 0 0 1400 -50 0.4-1.0arcsec 0 natural 0 0.93 7.90 8.51 17.45 6.77 1.7 1.1 0.06 0.5793 54 25 40
SKA1W8 0 0 800 -50 10.0-60.0arcmin 8 natural 0 6.4 11.69 1.82 257.85 1.76 12 2e+06 0.00 793.8355 3.7e+02 3.6 5.6
SKA1W8-C9B120 0 0 1000 -30 2.0-3.0arcsec 3 natural 0 2.9 10.00 3.43 44.60 4.24 5.3 17 0.07 2.3343 1.7e+02 8.1 21
SKA1W8-V2 0 0 650 -50 1.0-2.0arcsec 2 natural 0 1.4 13.52 9.39 15.47 7.19 2.6 4.8 0.07 1.2374 83 1.4e+02 77
SKA1W8-V2 0 0 1400 -50 2.0-3.0arcsec 3 natural 0 1.6 7.90 4.97 37.55 4.62 2.9 18 0.10 2.3766 92 8.6 28
SKA1W8-C9B120 0 0 800 -10 2.0-3.0arcsec 3 natural 0 2.8 11.69 4.12 42.61 4.33 5.2 17 0.07 2.3473 1.6e+02 18 23
SKASUR 0 0 650 -50 3.0-4.0arcsec 4 natural 0 9.6 13.52 1.41 326.01 1.57 17 36 0.08 3.3683 5.5e+02 36 46
SKASUR1 0 0 1400 -30 10.0-100.0arcsec 7 natural 0 3 7.90 2.61 53.86 3.85 5.5 7.6e+02 0.05 15.5862 1.7e+02 1.2e+02 2.8e+02
SKA1W8 0 0 800 -10 0.4-1.0arcsec 0 natural 0 1.4 11.69 8.33 10.78 8.61 2.6 1.6 0.07 0.7169 81 74 71
SKA1V8-C9B120 0 0 1400 -50 0.4-2.0arcsec 1 natural 0 0.7 7.90 11.27 8.48 9.71 1.3 1.8 0.07 0.7591 40 44 95
SKA1W8-C9B120 0 0 1400 -10 10.0-100.0arcsec 7 natural 0 0.69 7.90 11.52 6.48 11.11 1.2 2.2e+03 0.02 26.1702 40 46 1.5e+02
SKA1W8-12C0B120 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7.1 7.90 1.12 234.53 1.85 13 1.7e+06 0.02 727.6049 4.1e+02 0.44 6.2
SKA1W8-V2 0 0 650 -50 2.0-3.0arcsec 3 natural 0 2.4 13.52 5.67 37.55 4.62 4.3 17 0.08 2.3138 1.4e+02 52 28
SKA1W8 0 0 650 -50 10.0-60.0arcsec 6 natural 0 1.2 13.52 10.88 8.29 9.83 2.3 1.3e+03 0.04 20.5706 72 1.9e+02 1.1e+02
SKASUR 0 0 1400 -50 0.4-1.0arcsec 0 natural 0 4.1 7.90 1.92 398.05 1.42 7.5 1.6 0.27 0.7136 2.4e+02 67 45
SKASUR 0 0 800 -10 10.0-100.0arcsec 7 natural 0 3.7 11.69 3.18 83.83 3.09 6.7 8.9e+02 0.09 16.8212 2.1e+02 1.8e+02 1.9e+02
SKA1V8 0 0 1000 -10 10.0-60.0arcmin 8 natural 0 7.8 10.00 1.28 230.68 1.86 14 1.9e+06 0.02 781.4811 4.5e+02 1.1 6.3
SKA1V8 0 0 650 -10 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.85 8.92 9.47 2.5 2.7 0.07 0.9243 79 1.6e+02 96
SKA1W8-V2 0 0 650 -50 10.0-60.0arcsec 6 natural 0 1.3 13.52 10.40 8.80 9.53 2.4 1.4e+03 0.04 20.8627 75 1.8e+02 1e+02
SKA1W8-C9B120 0 0 800 -30 1.0-2.0arcsec 2 natural 0 1.9 11.69 6.24 18.83 6.52 3.4 5.2 0.06 1.2829 1.1e+02 42 63
SKASUR1 0 0 800 -10 0.4-2.0arcsec 1 natural 0 6.8 11.69 1.71 192.32 2.04 12 8.4 0.38 1.6820 3.9e+02 53 79
SKA1W8-12C0B120 0 0 1000 -50 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.31 14.55 7.42 2.9 75 0.07 4.8991 91 27 64
SKASUR 0 0 800 -50 1.0-2.0arcsec 2 natural 0 6 11.69 1.95 176.90 2.13 11 5.8 0.26 1.3736 3.5e+02 68 83
SKASUR 0 0 1000 -10 2.0-3.0arcsec 3 natural 0 5.3 10.00 1.88 274.57 1.71 9.7 17 0.06 2.3467 3.1e+02 64 53
SKA1W8 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7 7.90 1.13 231.09 1.86 13 1.7e+06 0.02 727.6049 4e+02 0.44 6.2
SKA1W8-C9B120 0 0 1000 -30 10.0-60.0arcsec 6 natural 0 1.3 10.00 7.93 8.68 9.60 2.3 1.3e+03 0.06 20.7009 73 43 1.1e+02
SKA1W8-12C0B120 0 0 1400 -30 10.0-100.0arcsec 7 natural 0 0.67 7.90 11.83 6.16 11.40 1.2 2.5e+03 0.01 28.1997 38 49 1.6e+02
SKA1W8 0 0 1000 -30 3.0-4.0arcsec 4 natural 0 3.5 10.00 2.86 65.79 3.49 6.4 35 0.12 3.3287 2e+02 5.6 15
SKA1W8-12C0B120 0 0 1400 -10 0.4-1.0arcsec 0 natural 0 0.7 7.90 11.25 8.92 9.47 1.3 0.94 0.07 0.5469 40 44 83
SKA1V8 0 0 800 -10 10.0-60.0arcsec 6 natural 0 1.2 11.69 10.11 7.37 10.42 2.1 1.2e+03 0.06 19.6503 67 1.1e+02 1.3e+02
SKASUR 0 0 650 -30 10.0-100.0arcsec 7 natural 0 3.3 13.52 4.04 88.22 3.01 6.1 8.4e+02 0.07 16.3993 1.9e+02 2.9e+02 1.8e+02
SKA1W8-V2 0 0 1400 -10 1.0-2.0arcsec 2 natural 0 1.3 7.90 6.29 15.46 7.19 2.3 5.1 0.06 1.2757 72 14 78
SKASUR 0 0 650 -50 1.0-2.0arcsec 2 natural 0 6.4 13.52 2.10 176.90 2.13 12 6.9 0.26 1.4952 3.7e+02 79 83
SKA1W8-C9B120 0 0 650 -50 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.67 6.53 11.07 1.9 1.9e+03 0.00 24.8052 61 2.6e+02 1.5e+02
SKA1V8-C9B120 0 0 650 -10 3.0-4.0arcsec 4 natural 0 2.9 13.52 4.65 46.57 4.14 5.3 35 0.05 3.3448 1.7e+02 35 20
SKA1V8 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7 7.90 1.13 230.68 1.86 13 1.7e+06 0.02 727.6049 4e+02 0.44 6.3
SKA1W8 0 0 650 -10 3.0-10.0arcsec 5 natural 0 1.7 13.52 7.75 15.66 7.15 3.2 75 0.01 4.8823 1e+02 98 57
SKA1V8 0 0 650 -30 3.0-4.0arcsec 4 natural 0 3.1 13.52 4.30 54.83 3.82 5.7 35 0.07 3.3413 1.8e+02 30 17
SKASUR1 0 0 800 -30 0.4-2.0arcsec 1 natural 0 7 11.69 1.67 194.27 2.03 13 8.3 0.41 1.6823 4e+02 50 78
SKA1W8-V2 0 0 650 -50 0.4-2.0arcsec 1 natural 0 1.1 13.52 12.05 6.31 11.26 2 3.4 0.09 1.0469 65 2.4e+02 1.4e+02
SKASUR1 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 6.1 7.90 1.30 431.75 1.36 11 35 0.02 3.3445 3.5e+02 31 34
SKA1W8-12C0B120 0 0 1000 -10 2.0-3.0arcsec 3 natural 0 2.9 10.00 3.49 33.82 4.86 5.2 18 0.11 2.3740 1.6e+02 8.4 31
SKASUR 0 0 1000 -10 10.0-100.0arcsec 7 natural 0 3.5 10.00 2.86 83.83 3.09 6.4 9.6e+02 0.08 17.4878 2e+02 1.5e+02 1.9e+02
SKA1W8-12C0B120 0 0 650 -50 2.0-3.0arcsec 3 natural 0 2.3 13.52 5.79 35.77 4.73 4.3 17 0.06 2.3070 1.3e+02 54 30
SKASUR 0 0 1400 -30 10.0-100.0arcsec 7 natural 0 4.5 7.90 1.76 88.22 3.01 8.2 9.9e+02 0.07 17.7900 2.6e+02 56 1.8e+02
SKASUR1 0 0 800 -30 0.4-1.0arcsec 0 natural 0 47 11.69 0.25 1259.99 0.80 86 3 0.52 1.0403 2.7e+03 1.1 17
SKA1V8-C9B120 0 0 1400 -10 1.0-2.0arcsec 2 natural 0 1.1 7.90 7.13 18.03 6.66 2 5.5 0.06 1.3224 64 18 52
SKA1V8 0 0 1000 -10 3.0-10.0arcsec 5 natural 0 1.5 10.00 6.88 12.07 8.14 2.6 84 0.04 5.1771 84 32 75
SKA1W8-12C0B120 0 0 1400 -10 2.0-3.0arcsec 3 natural 0 1.5 7.90 5.27 33.82 4.86 2.7 17 0.12 2.3527 86 9.7 31
SKA1W8-V2 0 0 1000 -50 1.0-2.0arcsec 2 natural 0 1.9 10.00 5.35 15.47 7.19 3.4 5.7 0.03 1.3502 1.1e+02 20 77
SKA1V8 0 0 800 -50 10.0-100.0arcsec 7 natural 0 0.98 11.69 11.97 5.50 12.06 1.8 1.9e+03 0.02 24.6723 56 1.5e+02 1.8e+02
SKA1V8-C9B120 0 0 1000 -50 2.0-3.0arcsec 3 natural 0 2.5 10.00 4.07 31.09 5.07 4.5 17 0.04 2.3471 1.4e+02 11 31
SKA1W8-12C0B120 0 0 650 -50 1.0-2.0arcsec 2 natural 0 1.3 13.52 10.14 13.76 7.62 2.4 4.7 0.07 1.2299 77 1.7e+02 90
SKASUR1 0 0 650 -10 2.0-3.0arcsec 3 natural 0 8.9 13.52 1.52 373.12 1.46 16 19 0.27 2.4814 5.1e+02 41 39
SKASUR1 0 0 1400 -10 0.4-2.0arcsec 1 natural 0 3.6 7.90 2.18 192.32 2.04 6.6 4 0.30 1.1444 2.1e+02 86 79
SKA1W8-V2 0 0 800 -50 10.0-100.0arcsec 7 natural 0 1.1 11.69 11.03 6.27 11.30 1.9 2.4e+03 0.03 27.6278 61 1.3e+02 1.5e+02
SKA1V8-C9B120 0 0 650 -10 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.40 8.73 9.57 2.6 3.9 0.01 1.1094 83 1.4e+02 90
SKASUR1 0 0 1000 -10 2.0-3.0arcsec 3 natural 0 6.1 10.00 1.63 373.12 1.46 11 17 0.11 2.3528 3.5e+02 48 39
SKASUR1 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 2.6 10.00 3.91 53.86 3.85 4.7 8.9e+02 0.12 16.8760 1.5e+02 2.8e+02 2.8e+02
SKA1W8-C9B120 0 0 800 -50 1.0-2.0arcsec 2 natural 0 1.9 11.69 6.16 18.59 6.56 3.5 5.3 0.01 1.3003 1.1e+02 41 65
SKA1W8 0 0 1000 -10 10.0-60.0arcmin 8 natural 0 7.8 10.00 1.29 231.09 1.86 14 1.9e+06 0.02 781.4811 4.5e+02 1.1 6.2
SKA1W8-C9B120 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.6 11.69 7.24 13.83 7.60 2.9 81 0.00 5.0736 93 56 65
SKA1W8-V2 0 0 800 -30 10.0-60.0arcsec 6 natural 0 1.2 11.69 9.38 8.54 9.68 2.3 1.3e+03 0.03 20.6960 72 94 1e+02
SKA1W8-V2 0 0 650 -50 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.68 6.27 11.30 1.9 2.4e+03 0.05 27.5279 61 2.6e+02 1.5e+02
SKA1V8-C9B120 0 0 800 -30 10.0-60.0arcsec 6 natural 0 1.1 11.69 10.35 7.29 10.48 2.1 1.1e+03 0.01 19.0239 65 1.1e+02 1.4e+02
SKA1V8-C9B120 0 0 1000 -50 10.0-60.0arcsec 6 natural 0 1.2 10.00 8.54 7.40 10.40 2.1 1.2e+03 0.02 19.8474 67 50 1.3e+02
