# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKASUR 0 0 800 -10 10.0-60.0arcmin 8 natural 0 48 11.69 0.25 15023.26 0.23 87 3e+06 0.27 984.2465 2.7e+03 1.1 1.1
SKA1W8-12C0B120 0 0 1400 -30 10.0-60.0arcmin 8 natural 0 7.6 7.90 1.04 258.22 1.76 14 1.6e+06 0.02 716.1607 4.4e+02 0.38 5.7
SKA1V8-C9B120 0 0 800 -10 0.4-1.0arcsec 0 natural 0 2 11.69 5.92 18.19 6.63 3.6 1.6 0.02 0.7197 1.1e+02 38 37
SKA1W8-V2 0 0 650 -50 0.4-1.0arcsec 0 natural 0 1.8 13.52 7.68 10.67 8.66 3.2 2 0.11 0.8084 1e+02 96 67
SKA1W8 0 0 800 -30 1.0-2.0arcsec 2 natural 0 1.9 11.69 6.24 19.02 6.49 3.4 5.2 0.07 1.2877 1.1e+02 42 62
SKA1V8 0 0 1400 -30 1.0-2.0arcsec 2 natural 0 1.2 7.90 6.49 21.33 6.12 2.2 5.5 0.08 1.3187 70 15 44
SKA1W8 0 0 1400 -10 2.0-3.0arcsec 3 natural 0 1.8 7.90 4.35 46.14 4.16 3.3 17 0.09 2.3490 1e+02 6.6 21
SKASUR1 0 0 1000 -50 10.0-60.0arcsec 6 natural 0 2.6 10.00 3.90 56.44 3.77 4.7 8.4e+02 0.10 16.3893 1.5e+02 2.7e+02 2.7e+02
SKASUR 0 0 650 -50 0.4-1.0arcsec 0 natural 0 27 13.52 0.49 398.05 1.42 50 2.6 0.30 0.9181 1.6e+03 4.4 45
SKA1W8-C9B120 0 0 1000 -50 0.4-1.0arcsec 0 natural 0 1.2 10.00 8.07 9.76 9.05 2.3 1.2 0.09 0.6098 71 45 83
SKASUR 0 0 1400 -50 10.0-60.0arcmin 8 natural 0 59 7.90 0.13 17026.35 0.22 1.1e+02 1.8e+06 0.14 753.1752 3.4e+03 0.33 0.96
SKASUR1 0 0 650 -30 3.0-4.0arcsec 4 natural 0 11 13.52 1.29 456.51 1.32 19 36 0.10 3.3776 6.1e+02 30 32
SKA1W8 0 0 1000 -30 10.0-60.0arcsec 6 natural 0 1.2 10.00 8.28 8.35 9.79 2.2 1.5e+03 0.02 21.8703 70 47 1.1e+02
SKA1W8-C9B120 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 8.4 10.00 1.19 262.39 1.75 15 1.9e+06 0.03 776.2460 4.9e+02 0.96 5.6
SKASUR 0 0 650 -10 3.0-4.0arcsec 4 natural 0 9.4 13.52 1.44 354.12 1.50 17 35 0.10 3.3420 5.4e+02 38 42
SKASUR1 0 0 800 -50 0.4-2.0arcsec 1 natural 0 7 11.69 1.68 191.85 2.04 13 8.6 0.34 1.6924 4e+02 51 80
SKA1V8-C9B120 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 1.2 10.00 8.35 8.44 9.74 2.2 2.2 0.09 0.8406 69 48 97
SKA1W8 0 0 800 -50 10.0-100.0arcsec 7 natural 0 1 11.69 11.39 6.00 11.55 1.9 2.2e+03 0.02 26.5426 59 1.4e+02 1.6e+02
SKASUR 0 0 800 -50 10.0-60.0arcsec 6 natural 0 3.9 11.69 2.99 94.93 2.90 7.1 7.8e+02 0.06 15.8138 2.3e+02 1.6e+02 1.7e+02
SKA1W8 0 0 650 -30 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.54 259.65 1.76 9.7 2.1e+06 0.01 814.6447 3.1e+02 11 5.6
SKA1W8-12C0B120 0 0 1400 -50 10.0-100.0arcsec 7 natural 0 0.66 7.90 12.01 6.04 11.51 1.2 2.5e+03 0.00 28.1267 38 50 1.6e+02
