lo0,lores,lofreq,freq,dec,weight,widx,noise166,noise50,psf_sym,psf_ex,psf_ey,psf_mean,noise50k,sdl
SKA1W8-0C0B120,0,0,800,-30,,robust=-2.0:taper=0,1,3.8e+02,,6.9e+02,0.05,0.81,0.77,0.79,2.2e+04,0.57
SKA1W8-12C0B120,0,0,1000,-30,,robust=-2.0:taper=0,1,4e+02,,7.2e+02,0.02,0.73,0.72,0.73,2.3e+04,0.47
SKA1V8,0,0,800,-30,,robust=-2.0:taper=0,1,4.3e+02,,7.8e+02,0.03,0.79,0.77,0.78,2.5e+04,0.63
SKA1W8-0C0B120,0,0,1000,-30,,robust=-2.0:taper=0,1,4.3e+02,,7.8e+02,0.03,0.75,0.72,0.74,2.5e+04,0.52
SKASUR75,0,0,1400,-30,,robust=-2.0:taper=1.0,2,6.2e+02,,1.1e+03,0.12,1.2,1.1,1.2,3.6e+04,0.88
SKASUR,0,0,650,-30,,robust=-2.0:taper=0,1,8.8e+02,,1.6e+03,0.30,2.6,1.8,2.2,5.1e+04,1.5
SKASUR,0,0,1000,-30,,robust=-2.0:taper=0,1,7.7e+02,,1.4e+03,0.30,1.8,1.2,1.5,4.4e+04,1.3
SKASUR,0,0,800,-30,,natural,0,2.6e+02,,4.8e+02,0.01,9,9,9,1.5e+04,0.93
SKASUR,0,0,650,-30,,natural,0,2.7e+02,,4.9e+02,0.01,11,11,11,1.5e+04,1
SKA1W8-0C0B120,0,0,650,-30,,robust=-2.0:taper=1.0,2,3.3e+02,,6e+02,0.05,1.1,1.1,1.1,1.9e+04,0.46
SKA1W8-12C0B120,0,0,1400,-30,,robust=-2.0:taper=0,1,4.4e+02,,8e+02,0.01,0.72,0.72,0.72,2.5e+04,0.49
SKASUR75,0,0,650,-30,,natural,0,2.7e+02,,4.9e+02,0.00,6.5,6.4,6.5,1.5e+04,0.85
SKA1W8-0C9B120,0,0,650,-30,,robust=-2.0:taper=0,1,3.7e+02,,6.7e+02,0.05,0.85,0.81,0.83,2.1e+04,0.61
SKA1V8,0,0,1000,-30,,robust=-2.0:taper=0,1,4.4e+02,,8e+02,0.03,0.78,0.75,0.77,2.5e+04,0.62
SKA1W8-0C9B120,0,0,1000,-30,,robust=-2.0:taper=0,1,4.4e+02,,8e+02,0.02,0.73,0.72,0.73,2.5e+04,0.49
SKA1W8-0C9B120,0,0,650,-30,,natural,0,94,,1.7e+02,0.07,7.6,8.1,7.8,5.4e+03,0.44
SKA1V8,0,0,650,-30,,natural,0,93,,1.7e+02,0.05,13,13,13,5.4e+03,0.43
SKASUR,0,0,1400,-30,,robust=-2.0:taper=0,1,7.4e+02,,1.3e+03,0.29,1.3,0.94,1.1,4.2e+04,1.2
SKA1W8-12C0B120,0,0,800,-30,,natural,0,93,,1.7e+02,0.25,5.5,4.1,4.8,5.3e+03,0.45
SKA1W8-12C0B120,0,0,1400,-30,,robust=-2.0:taper=1.0,2,4e+02,,7.3e+02,0.02,1,0.98,0.99,2.3e+04,0.48
SKA1V8,0,0,650,-30,,robust=-2.0:taper=0,1,4.5e+02,,8.2e+02,0.06,0.83,0.79,0.81,2.6e+04,0.65
SKA1V8,0,0,650,-30,,robust=-2.0:taper=1.0,2,4e+02,,7.3e+02,0.05,1.1,1,1.1,2.3e+04,0.55
