lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed,speed_avg
SKA1REF2,0,0,1000,-50,10.0-60.0arcmin,5,natural,0,12,10.00,0.83,404.47,1.41,1.00,22,22,,1.9e+06,0.02,776.9439,6.9e+02,0.47,3.5
SKA1W9-0A72B120,0,0,800,-30,3.0-4.0arcsec,4,natural,0,3.5,11.69,3.30,72.89,3.31,1.11,6.5,5.8,,34,0.07,3.3034,2e+02,12,17
SKASUR1,0,0,800,-30,10.0-60.0arcmin,5,natural,0,55,11.69,0.21,16975.48,0.22,6.02,1e+02,17,,2.9e+06,0.27,973.6785,3.2e+03,0.82,0.91
SKASUR1,0,0,800,-10,0.4-2.0arcsec,1,natural,0,6.8,11.69,1.71,204.55,1.98,5.28,12,2.4,,8.4,0.38,1.6820,3.9e+02,52,75
SKA1W9-0A72B120,0,0,1000,-50,0.4-2.0arcsec,1,natural,0,1,10.00,9.59,6.46,11.13,0.81,1.9,2.3,,1.5,0.09,0.6817,60,63,1.7e+02
SKA1W9-12A72B120,0,0,650,-50,1.0-2.0arcsec,2,natural,0,1.5,13.52,9.18,15.38,7.21,0.73,2.7,3.7,,4.7,0.01,1.2215,85,1.4e+02,84
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,4,natural,0,3.4,13.52,3.99,72.67,3.32,1.06,6.2,5.8,,35,0.05,3.3509,2e+02,26,17
SKASUR,0,0,800,-30,1.0-2.0arcsec,2,natural,0,6,11.69,1.95,170.46,2.17,2.99,11,3.6,,5.9,0.22,1.3846,3.4e+02,69,86
SKA1W9-12A72B120,0,0,1000,-10,0.4-2.0arcsec,1,natural,0,0.95,10.00,10.51,5.69,11.86,0.73,1.7,2.4,,1.6,0.05,0.7027,55,76,1.9e+02
SKA1W9-0A72B120,0,0,650,-30,1.0-2.0arcsec,2,natural,0,1.6,13.52,8.33,19.38,6.43,0.81,3,3.6,,4.6,0.00,1.2108,94,1.1e+02,69
SKA1W9-12A72B120,0,0,650,-10,3.0-4.0arcsec,4,natural,0,3.1,13.52,4.42,58.72,3.69,0.98,5.6,5.7,,35,0.06,3.3451,1.8e+02,32,20
SKA1W9-12A72B120,0,0,1000,-10,10.0-60.0arcmin,5,natural,0,12,10.00,0.83,436.57,1.35,1.08,22,20,,2e+06,0.01,788.0923,7e+02,0.47,3.2
SKA1REF2,0,0,800,-10,3.0-4.0arcsec,4,natural,0,3.1,11.69,3.72,56.22,3.77,1.00,5.7,5.7,,35,0.06,3.3418,1.8e+02,15,20
SKA1W9-0A72B120,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.3,11.69,9.09,9.95,8.97,0.75,2.3,3.1,,1.5,0.13,0.6954,74,89,1e+02
SKASUR,0,0,650,-10,0.4-2.0arcsec,1,natural,0,5.8,13.52,2.33,120.82,2.57,4.29,11,2.5,,6.8,0.27,1.4915,3.3e+02,97,1.2e+02
SKASUR1,0,0,1000,-50,10.0-60.0arcmin,5,natural,0,65,10.00,0.15,17715.91,0.21,5.38,1.2e+02,22,,2.7e+06,0.17,936.8433,3.7e+03,0.43,0.88
SKA1W9-0A72B120,0,0,650,-10,2.0-3.0arcsec,3,natural,0,2.8,13.52,4.76,46.13,4.16,1.08,5.2,4.8,,17,0.07,2.3467,1.6e+02,37,24
SKASUR,0,0,650,-30,0.4-1.0arcsec,0,natural,0,25,13.52,0.55,504.05,1.26,13.18,45,3.4,,2.7,0.38,0.9509,1.4e+03,5.4,37
SKA1W9-0A72B120,0,0,650,-30,2.0-3.0arcsec,3,natural,0,2.9,13.52,4.60,48.32,4.07,1.14,5.4,4.7,,17,0.04,2.3510,1.7e+02,34,23
SKA1W9-12A72B120,0,0,800,-50,0.4-1.0arcsec,0,natural,0,1.2,11.69,9.76,8.92,9.47,0.70,2.2,3.1,,1.5,0.10,0.6993,69,1e+02,1.1e+02
SKA1REF2,0,0,800,-50,2.0-3.0arcsec,3,natural,0,2.7,11.69,4.33,41.06,4.41,1.00,4.9,4.9,,17,0.07,2.3578,1.6e+02,20,28
SKASUR,0,0,1000,-50,2.0-3.0arcsec,3,natural,0,5.3,10.00,1.89,285.08,1.68,1.94,9.6,5,,18,0.10,2.3773,3e+02,64,52
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,5,natural,0,9.9,11.69,1.18,484.23,1.29,1.08,18,17,,2e+06,0.02,799.6040,5.7e+02,1.5,2.9
SKA1W9-12A72B120,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.82,8.92,9.47,0.73,2.5,3.4,,1.9,0.14,0.7856,79,1.6e+02,1.1e+02
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,5,natural,0,7.9,13.52,1.71,478.91,1.29,1.11,14,13,,2e+06,0.03,799.6301,4.5e+02,4.8,2.9
SKASUR1,0,0,800,-50,1.0-2.0arcsec,2,natural,0,8.8,11.69,1.33,317.24,1.59,4.45,16,3.6,,7.8,0.35,1.6090,5.1e+02,32,51
SKASUR1,0,0,1000,-10,10.0-60.0arcmin,5,natural,0,60,10.00,0.17,15882.58,0.22,5.36,1.1e+02,20,,2.6e+06,0.16,914.7249,3.5e+03,0.5,0.97
SKA1REF2,0,0,650,-10,1.0-2.0arcsec,2,natural,0,2,13.52,6.82,22.85,5.92,1.00,3.6,3.6,,5.6,0.02,1.3304,1.1e+02,75,50
SKA1W9-12A72B120,0,0,1000,-30,0.4-2.0arcsec,1,natural,0,0.95,10.00,10.55,5.60,11.95,0.73,1.7,2.4,,1.5,0.11,0.6873,55,76,1.9e+02
SKA1REF2,0,0,1000,-30,2.0-3.0arcsec,3,natural,0,2.7,10.00,3.65,40.48,4.45,1.00,5,5,,18,0.07,2.3650,1.6e+02,9.1,29
SKASUR1,0,0,650,-10,1.0-2.0arcsec,2,natural,0,9.8,13.52,1.38,269.75,1.72,4.95,18,3.6,,10,0.42,1.8587,5.7e+02,34,58
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,5,natural,0,9.1,11.69,1.28,404.47,1.41,1.00,17,17,,2e+06,0.03,789.5732,5.3e+02,1.8,3.5
SKASUR,0,0,650,-10,1.0-2.0arcsec,2,natural,0,6.6,13.52,2.04,174.34,2.14,3.35,12,3.6,,6.6,0.27,1.4621,3.8e+02,75,84
SKASUR,0,0,800,-50,0.4-1.0arcsec,0,natural,0,12,11.69,0.95,573.82,1.18,7.18,22,3.1,,2.6,0.24,0.9227,7.1e+02,16,33
SKA1W9-12A72B120,0,0,800,-10,2.0-3.0arcsec,3,natural,0,2.5,11.69,4.64,35.72,4.73,0.94,4.6,4.9,,17,0.01,2.3480,1.5e+02,23,32
SKA1REF2,0,0,650,-50,10.0-60.0arcmin,5,natural,0,7.1,13.52,1.90,404.47,1.41,1.00,13,13,,2e+06,0.02,799.8338,4.1e+02,5.9,3.5
SKA1W9-0A72B120,0,0,1000,-50,3.0-4.0arcsec,4,natural,0,4.1,10.00,2.43,72.67,3.32,1.26,7.5,5.9,,35,0.05,3.3508,2.4e+02,4,17
SKA1REF2,0,0,800,-10,2.0-3.0arcsec,3,natural,0,2.7,11.69,4.35,40.55,4.44,1.00,4.9,4.9,,17,0.02,2.3504,1.5e+02,20,28
SKASUR,0,0,1000,-10,2.0-3.0arcsec,3,natural,0,5.4,10.00,1.86,271.52,1.72,2.00,9.8,4.9,,17,0.06,2.3467,3.1e+02,62,54
SKASUR,0,0,800,-10,0.4-2.0arcsec,1,natural,0,5.2,11.69,2.25,120.82,2.57,4.01,9.5,2.4,,5.3,0.25,1.3112,3e+02,91,1.2e+02
SKASUR1,0,0,650,-50,1.0-2.0arcsec,2,natural,0,11,13.52,1.23,317.24,1.59,5.40,20,3.7,,11,0.44,1.9124,6.3e+02,27,51
SKA1REF2,0,0,1000,-10,10.0-60.0arcmin,5,natural,0,11,10.00,0.89,360.67,1.49,1.00,20,20,,1.9e+06,0.02,777.0623,6.5e+02,0.55,3.9
SKA1REF2,0,0,1000,-50,1.0-2.0arcsec,2,natural,0,2,10.00,4.91,23.15,5.88,1.00,3.7,3.7,,5.6,0.07,1.3392,1.2e+02,17,48
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.2,11.69,9.64,9.07,9.39,0.71,2.2,3.1,,1.6,0.06,0.7033,70,1e+02,1.1e+02
SKASUR1,0,0,1000,-30,10.0-60.0arcmin,5,natural,0,62,10.00,0.16,16975.48,0.22,5.23,1.1e+02,22,,2.5e+06,0.16,903.8774,3.6e+03,0.47,0.91
SKASUR1,0,0,650,-10,0.4-1.0arcsec,0,natural,0,90,13.52,0.15,3828.70,0.46,46.86,1.6e+02,3.5,,3.7,0.56,1.1767,5.2e+03,0.41,5.8
SKA1W9-0A72B120,0,0,1000,-30,10.0-60.0arcmin,5,natural,0,13,10.00,0.78,494.99,1.27,1.08,23,22,,1.9e+06,0.00,778.5533,7.4e+02,0.42,2.8
SKA1W9-0A72B120,0,0,1000,-10,2.0-3.0arcsec,3,natural,0,2.9,10.00,3.48,46.13,4.16,1.07,5.2,4.9,,17,0.04,2.3337,1.7e+02,8.3,24
SKA1W9-0A72B120,0,0,650,-50,2.0-3.0arcsec,3,natural,0,2.9,13.52,4.70,48.45,4.06,1.09,5.2,4.8,,17,0.04,2.3412,1.7e+02,36,23
SKA1REF2,0,0,650,-30,3.0-4.0arcsec,4,natural,0,3.2,13.52,4.21,58.58,3.70,1.00,5.8,5.8,,36,0.06,3.3694,1.8e+02,29,19
SKA1REF2,0,0,800,-50,0.4-2.0arcsec,1,natural,0,1.3,11.69,9.20,9.65,9.11,1.00,2.3,2.3,,1.9,0.10,0.7867,73,91,1.1e+02
SKA1REF2,0,0,650,-30,10.0-60.0arcmin,5,natural,0,7.2,13.52,1.87,409.18,1.40,1.00,13,13,,2e+06,0.02,797.2881,4.2e+02,5.7,3.5
SKASUR,0,0,800,-10,3.0-4.0arcsec,4,natural,0,9.5,11.69,1.23,356.24,1.50,3.04,17,5.7,,36,0.02,3.3622,5.5e+02,27,42
SKASUR1,0,0,800,-10,3.0-4.0arcsec,4,natural,0,11,11.69,1.08,498.88,1.27,3.43,20,5.7,,36,0.22,3.4051,6.2e+02,21,30
SKASUR,0,0,650,-30,2.0-3.0arcsec,3,natural,0,7.7,13.52,1.75,279.81,1.69,3.01,14,4.7,,17,0.24,2.3604,4.5e+02,55,52
