lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-12A72B120,0,0,1100,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,10,10.00,0.95,76.50,3.23,1.05,19,18,,1.8e+06,0.03,756.2029,6e+02
SKA1W9-0A72B120,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,9.8,10.00,1.02,69.48,3.39,1.04,18,17,,1.9e+06,0.00,771.6833,5.7e+02
SKA1W9-0A72B120,0,0,1100,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.5,10.00,3.96,11.59,8.31,1.15,4.6,4,,16,0.00,2.2591,1.5e+02
SKA1REF2,0,0,800,-10,1.0-2.0arcsec,1,natural,0,1.6,12.50,7.76,4.59,13.21,1.00,2.9,2.9,,5.6,0.06,1.3298,93
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,6.9,12.50,1.81,69.48,3.39,1.05,13,12,,2e+06,0.03,796.1984,4e+02
SKA1W9-12A72B120,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.1,12.50,5.88,7.92,10.05,0.91,3.9,4.3,,16,0.00,2.2523,1.2e+02
SKA1W9-12A72B120,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,7.3,12.50,1.71,76.50,3.23,1.03,13,13,,1.9e+06,0.06,786.2695,4.2e+02
SKA1REF2,0,0,1100,-30,10.0-60.0arcmin,4,natural,0,10,10.00,0.98,74.42,3.28,1.00,19,19,,1.8e+06,0.07,759.1995,5.9e+02
SKA1W9-12A72B120,0,0,800,-10,3.0-4.0arcsec,3,natural,0,2.6,12.50,4.76,11.49,8.35,0.99,4.8,4.8,,35,0.06,3.3188,1.5e+02
SKA1REF2,0,0,1100,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,10.00,1.00,71.01,3.36,1.00,18,18,,1.8e+06,0.08,762.0448,5.7e+02
SKA1REF2,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,10,10.00,0.98,72.57,3.32,1.00,19,19,,1.8e+06,0.07,757.0996,5.9e+02
SKA1W9-0A72B120,0,0,1100,-30,2.0-3.0arcsec,2,natural,0,2.5,10.00,3.96,9.81,9.03,1.15,4.6,4,,17,0.03,2.3343,1.5e+02
SKA1W9-12A72B120,0,0,1100,-10,2.0-3.0arcsec,2,natural,0,2.2,10.00,4.59,7.43,10.38,0.99,4,4,,17,0.06,2.3211,1.3e+02
SKA1W9-0A72B120,0,0,650,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.1,14.45,4.60,18.01,6.67,1.16,5.7,4.9,,33,0.00,3.2572,1.8e+02
SKA1REF2,0,0,650,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2,14.45,7.26,7.14,10.59,1.00,3.6,3.6,,4.6,0.03,1.2053,1.1e+02
SKA1W9-12A72B120,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.7,10.00,5.73,3.72,14.66,0.90,3.2,3.5,,5,0.00,1.2606,1e+02
SKA1REF2,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.7,10.00,5.88,4.74,12.99,1.00,3.1,3.1,,0.83,0.07,0.5148,98
SKA1REF2,0,0,650,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.7,14.45,8.69,4.74,12.99,1.00,3,3,,1.6,0.12,0.7115,96
SKA1W9-12A72B120,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.3,10.00,7.41,2.73,17.12,0.79,2.5,3.1,,2.4,0.01,0.8749,78
SKA1W9-0A72B120,0,0,800,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.2,12.50,3.85,18.01,6.67,1.23,5.9,4.8,,33,0.00,3.2629,1.9e+02
SKA1REF2,0,0,800,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.9,12.50,4.31,14.33,7.47,1.00,5.3,5.3,,33,0.00,3.2612,1.7e+02
SKA1W9-0A72B120,0,0,1100,-50,10.0-60.0arcmin,4,natural,0,10,10.00,0.96,79.52,3.17,1.05,19,18,,1.9e+06,0.03,768.2569,6e+02
SKA1REF2,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.7,14.45,8.70,4.87,12.82,1.00,3,3,,3.4,0.05,1.0349,96
SKA1W9-0A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.1,12.50,11.79,2.09,19.57,0.76,1.9,2.6,,1.6,0.06,0.7050,61
SKA1REF2,0,0,1100,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.5,10.00,4.07,11.87,8.21,1.00,4.5,4.5,,33,0.01,3.2576,1.4e+02
SKA1REF2,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1.5,14.45,9.56,3.66,14.78,1.00,2.8,2.8,,1.3,0.13,0.6467,87
SKA1W9-0A72B120,0,0,800,-50,10.0-60.0arcmin,4,natural,0,7.3,12.50,1.72,79.52,3.17,1.02,13,13,,2e+06,0.06,791.0130,4.2e+02
SKA1W9-12A72B120,0,0,800,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.1,12.50,11.21,2.22,18.97,0.71,2,2.8,,2.7,0.02,0.9243,64
SKA1W9-0A72B120,0,0,800,-30,2.0-3.0arcsec,2,natural,0,2.3,12.50,5.38,9.81,9.03,1.04,4.2,4.1,,17,0.07,2.3491,1.3e+02
