lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKASUR,0,0,1100,-30,0.4-1.0arcsec,0,natural,0,2.1,10.00,4.69,27.56,5.39,1.62,3.9,2.4,,1.9,0.31,0.7961,1.2e+02,0.65
SKASUR,0,0,650,-10,10.0-60.0arcmin,4,natural,0,22,14.45,0.65,816.00,0.99,2.85,41,14,,3.5e+06,0.33,1072.1672,1.3e+03,0.022
SKASUR,0,0,800,-30,0.4-1.0arcsec,0,natural,0,5.3,12.50,2.37,27.56,5.39,2.54,9.6,3.8,,2.8,0.39,0.9715,3e+02,0.65
SKA1W9-12A72B120,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,8.7,14.45,1.66,160.25,2.23,1.10,16,14,,1.7e+06,0.04,737.3806,5e+02,0.0087
SKASUR,0,0,1100,-10,10.0-60.0arcmin,4,natural,0,18,10.00,0.55,816.00,0.99,2.02,33,16,,2.7e+06,0.23,926.8838,1e+03,0.022
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.7,14.45,5.42,8.08,9.95,1.00,4.9,4.9,,4.8,0.02,1.2358,1.5e+02,0.17
SKA1W9-12A72B120,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.3,10.00,7.99,4.88,12.81,0.81,2.3,2.8,,2.6,0.00,0.9077,72,0.29
SKA1W9-12A72B120,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.2,10.00,8.24,4.84,12.85,0.67,2.2,3.3,,1.3,0.00,0.6436,70,0.29
SKA1W9-0A72B120,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.6,12.50,4.83,8.90,9.48,0.85,4.7,5.6,,4.1,0.00,1.1423,1.5e+02,0.16
SKASUR,0,0,1100,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,18,10.00,0.56,852.54,0.97,1.89,33,17,,2.6e+06,0.23,919.8025,1e+03,0.021
SKASUR,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,26,12.50,0.49,853.99,0.97,2.47,46,19,,3.1e+06,0.34,1021.4838,1.5e+03,0.021
SKA1W9-12A72B120,0,0,800,-30,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,3.9,12.50,3.21,20.44,6.26,0.99,7.1,7.1,,33,0.01,3.2405,2.2e+02,0.069
SKASUR,0,0,1100,-50,0.4-1.0arcsec,0,natural,0,2.1,10.00,4.67,29.48,5.21,1.63,3.9,2.4,,2,0.26,0.8063,1.2e+02,0.61
SKA1REF2,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9,10.00,1.12,123.58,2.54,1.00,16,16,,1.8e+06,0.05,761.4964,5.2e+02,0.011
SKA1W9-12A72B120,0,0,800,-50,3.0-4.0arcsec,3,natural,0,3.8,12.50,3.25,20.65,6.22,1.01,7,6.9,,34,0.06,3.3146,2.2e+02,0.068
SKASUR,0,0,800,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3.1,12.50,4.09,12.18,8.10,0.98,5.6,5.7,,5.5,0.19,1.3329,1.8e+02,1.5
SKASUR,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,18,10.00,0.55,856.74,0.97,2.05,33,16,,2.8e+06,0.24,947.0093,1.1e+03,0.021
SKA1W9-12A72B120,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.3,10.00,7.88,5.33,12.25,0.69,2.3,3.3,,1.3,0.00,0.6452,73,0.26
SKA1W9-12A72B120,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.9,14.45,7.49,4.84,12.85,0.65,3.5,5.4,,3.5,0.00,1.0558,1.1e+02,0.29
SKA1REF2,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,3,14.45,4.78,12.36,8.05,1.00,5.5,5.5,,5.6,0.01,1.3362,1.7e+02,0.11
SKA1W9-12A72B120,0,0,800,-10,10.0-60.0arcmin,4,natural,0,10,12.50,1.22,144.12,2.36,1.07,19,18,,2e+06,0.02,800.5580,5.9e+02,0.0097
SKA1W9-12A72B120,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.6,14.45,3.99,18.88,6.51,0.95,6.6,7,,33,0.01,3.2606,2.1e+02,0.074
SKA1W9-0A72B120,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9.3,10.00,1.07,136.10,2.42,1.04,17,16,,1.9e+06,0.00,771.6822,5.4e+02,0.01
SKASUR,0,0,650,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3.2,14.45,4.52,12.18,8.10,1.06,5.8,5.5,,7.4,0.20,1.5454,1.8e+02,1.5
SKA1REF2,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.1,10.00,4.68,16.25,7.02,1.00,3.9,3.9,,16,0.00,2.2619,1.2e+02,0.086
SKA1W9-0A72B120,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.4,12.50,5.15,7.38,10.41,0.77,4.4,5.7,,2.4,0.00,0.8799,1.4e+02,0.19
SKA1W9-0A72B120,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,5.1,14.45,2.84,36.21,4.70,1.15,9.3,8.1,,33,0.01,3.2617,2.9e+02,0.039
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,10,12.50,1.23,136.10,2.42,1.06,19,18,,2e+06,0.03,796.1978,5.9e+02,0.01
SKA1W9-0A72B120,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.8,12.50,3.28,19.49,6.41,1.09,6.9,6.4,,16,0.00,2.2306,2.2e+02,0.072
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,11,12.50,1.13,160.25,2.23,1.07,20,19,,2e+06,0.02,799.4045,6.4e+02,0.0087
SKA1W9-0A72B120,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.4,14.45,6.04,10.45,8.75,0.74,4.4,5.9,,4.4,0.00,1.1773,1.4e+02,0.13
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.5,12.50,8.26,3.00,16.33,0.72,2.8,3.8,,1.6,0.06,0.7033,87,0.47
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,10,12.50,1.23,136.84,2.42,1.00,19,19,,2e+06,0.03,788.8629,5.9e+02,0.01
SKA1W9-12A72B120,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.8,10.00,5.56,7.04,10.66,0.89,3.3,3.7,,4.2,0.00,1.1604,1e+02,0.2
SKA1W9-12A72B120,0,0,800,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.3,12.50,3.80,14.63,7.39,0.90,6,6.7,,16,0.01,2.2310,1.9e+02,0.096
SKA1W9-0A72B120,0,0,650,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.2,14.45,6.44,6.62,10.99,0.76,4.1,5.4,,3.5,0.00,1.0515,1.3e+02,0.21
SKASUR,0,0,800,-10,10.0-60.0arcmin,4,natural,0,25,12.50,0.50,816.00,0.99,2.57,45,18,,3e+06,0.27,984.2465,1.4e+03,0.022
SKA1W9-12A72B120,0,0,1100,-50,0.4-1.0arcsec,0,natural,0,0.86,10.00,11.58,2.79,16.95,0.66,1.6,2.4,,0.98,0.09,0.5604,50,0.5
SKASUR,0,0,650,-50,0.4-1.0arcsec,0,natural,0,14,14.45,1.03,29.48,5.21,6.16,26,4.2,,2.6,0.30,0.9181,8.1e+02,0.61
SKA1W9-0A72B120,0,0,650,-10,1.0-2.0arcsec,1,natural,0,1.9,14.45,7.66,6.43,11.15,0.78,3.4,4.4,,4.6,0.03,1.2122,1.1e+02,0.22
SKA1W9-12A72B120,0,0,650,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.3,14.45,4.41,13.53,7.69,0.92,6,6.5,,16,0.00,2.2376,1.9e+02,0.1
SKA1W9-12A72B120,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.7,14.45,8.33,3.00,16.33,0.75,3.2,4.2,,1.9,0.05,0.7805,1e+02,0.47
