lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKA1W9-12A72B120,0,0,1100,-30,0.4-1.0arcsec,0,natural,0,0.87,10.00,11.56,2.78,16.95,0.66,1.6,2.4,,0.97,0.11,0.5562,50,0.5
SKASUR,0,0,1100,-30,10.0-60.0arcmin,4,natural,0,18,10.00,0.56,860.91,0.96,1.87,33,18,,2.5e+06,0.21,903.9106,1e+03,0.021
SKASUR,0,0,650,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.9,14.45,3.67,18.78,6.53,1.12,7.2,6.4,,16,0.09,2.2822,2.3e+02,0.96
SKA1W9-12A72B120,0,0,650,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.6,14.45,3.99,16.66,6.93,0.88,6.6,7.5,,16,0.00,2.2607,2.1e+02,0.084
SKASUR,0,0,800,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.9,12.50,4.31,10.98,8.53,1.01,5.3,5.2,,6.5,0.17,1.4458,1.7e+02,1.6
SKA1W9-0A72B120,0,0,800,-50,1.0-2.0arcsec,1,natural,0,2.4,12.50,5.16,6.67,10.95,1.00,4.4,4.4,,5.1,0.01,1.2788,1.4e+02,0.21
SKASUR,0,0,650,-30,3.0-4.0arcsec,3,natural,0,5,14.45,2.92,23.35,5.85,1.30,9,7,,35,0.02,3.3400,2.9e+02,0.77
SKASUR,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,5.4,14.45,2.67,28.94,5.26,1.22,9.9,8.1,,34,0.08,3.2821,3.1e+02,0.62
SKA1W9-12A72B120,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,8,14.45,1.80,138.29,2.41,1.05,15,14,,1.7e+06,0.02,738.8370,4.6e+02,0.01
SKA1W9-12A72B120,0,0,650,-30,2.0-3.0arcsec,2,natural,0,3,14.45,4.84,12.73,7.93,0.96,5.4,5.7,,18,0.05,2.3683,1.7e+02,0.11
SKA1REF2,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,4.5,14.45,3.24,23.34,5.85,1.00,8.1,8.1,,33,0.01,3.2618,2.6e+02,0.06
SKA1REF2,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.8,10.00,5.55,10.99,8.53,1.00,3.3,3.3,,1.4,0.02,0.6683,1e+02,0.13
SKASUR,0,0,800,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,3.1,12.50,4.08,12.49,8.00,1.00,5.6,5.6,,7,0.22,1.5033,1.8e+02,1.4
SKASUR,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,18,10.00,0.56,853.99,0.97,1.87,33,18,,2.5e+06,0.21,900.9279,1e+03,0.021
SKASUR,0,0,1100,-50,10.0-60.0arcmin,4,natural,0,18,10.00,0.56,869.81,0.96,1.90,33,17,,2.6e+06,0.22,922.1264,1e+03,0.021
SKA1REF2,0,0,800,-30,3.0-4.0arcsec,3,natural,0,3.9,12.50,3.22,19.52,6.40,1.00,7.1,7.1,,35,0.08,3.3419,2.2e+02,0.072
SKA1REF2,0,0,800,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,3.8,12.50,3.31,17.96,6.67,1.00,6.9,6.9,,33,0.01,3.2466,2.2e+02,0.078
SKA1W9-0A72B120,0,0,800,-10,3.0-4.0arcsec,3,natural,0,4.2,12.50,2.97,25.23,5.63,1.08,7.7,7.1,,34,0.06,3.3146,2.4e+02,0.055
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.1,12.50,6.03,5.50,12.06,0.75,3.8,5,,3.3,0.00,1.0325,1.2e+02,0.25
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,8.3,14.45,1.74,146.43,2.34,1.03,15,15,,1.7e+06,0.01,743.2285,4.8e+02,0.0096
SKA1W9-12A72B120,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,3.6,14.45,3.97,19.03,6.48,0.95,6.6,7,,33,0.01,3.2522,2.1e+02,0.074
SKA1W9-12A72B120,0,0,1100,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.6,10.00,3.79,20.28,6.28,1.13,4.8,4.2,,33,0.00,3.2583,1.5e+02,0.069
SKA1REF2,0,0,800,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.7,12.50,3.42,16.80,6.90,1.00,6.7,6.7,,16,0.00,2.2427,2.1e+02,0.083
SKA1REF2,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.2,10.00,4.59,16.80,6.90,1.00,4,4,,16,0.00,2.2389,1.3e+02,0.083
SKA1REF2,0,0,650,-30,10.0-60.0arcmin,4,natural,0,8.2,14.45,1.77,141.10,2.38,1.00,15,15,,2e+06,0.02,797.2881,4.7e+02,0.0099
SKA1W9-12A72B120,0,0,650,-50,3.0-4.0arcsec,3,natural,0,3.6,14.45,3.96,20.65,6.22,0.93,6.6,7.1,,35,0.02,3.3382,2.1e+02,0.068
SKA1W9-12A72B120,0,0,1100,-30,1.0-2.0arcsec,1,natural,0,1.5,10.00,6.79,5.39,12.19,0.95,2.7,2.8,,5.6,0.06,1.3328,85,0.26
SKA1REF2,0,0,1100,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.4,10.00,4.25,19.80,6.36,1.00,4.3,4.3,,16,0.00,2.2614,1.4e+02,0.071
SKA1W9-0A72B120,0,0,650,-10,3.0-4.0arcsec,3,natural,0,4,14.45,3.57,25.23,5.63,1.06,7.4,7,,35,0.04,3.3469,2.3e+02,0.055
SKA1REF2,0,0,1100,-10,1.0-2.0arcsec,1,natural,0,1.5,10.00,6.51,7.62,10.24,1.00,2.8,2.8,,5.5,0.02,1.3265,89,0.18
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,11,12.50,1.13,160.25,2.23,1.07,20,19,,2e+06,0.02,799.4046,6.4e+02,0.0087
SKA1REF2,0,0,1100,-30,2.0-3.0arcsec,2,natural,0,2.1,10.00,4.75,13.57,7.68,1.00,3.8,3.8,,17,0.06,2.3519,1.2e+02,0.1
SKA1W9-12A72B120,0,0,650,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.9,14.45,7.53,4.88,12.81,0.72,3.5,4.8,,4.3,0.00,1.1711,1.1e+02,0.29
SKASUR,0,0,800,-30,10.0-60.0arcmin,4,natural,0,25,12.50,0.49,860.91,0.96,2.46,46,19,,3.1e+06,0.33,1019.1460,1.5e+03,0.021
SKA1W9-0A72B120,0,0,650,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.9,14.45,3.71,19.00,6.49,1.11,7.1,6.4,,16,0.00,2.2689,2.2e+02,0.074
SKASUR,0,0,1100,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,2,10.00,5.01,18.55,6.57,0.88,3.6,4.1,,33,0.00,3.2587,1.1e+02,0.97
SKA1W9-0A72B120,0,0,800,-10,1.0-2.0arcsec,1,natural,0,2.3,12.50,5.42,6.43,11.15,0.95,4.2,4.4,,5.1,0.05,1.2748,1.3e+02,0.22
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,12.50,1.23,136.84,2.42,1.00,19,19,,2e+06,0.03,788.8630,5.9e+02,0.01
SKA1W9-12A72B120,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9.6,10.00,1.04,138.29,2.41,1.07,18,16,,1.9e+06,0.02,771.1430,5.5e+02,0.01
SKA1REF2,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3.2,14.45,4.48,14.35,7.47,1.00,5.9,5.9,,4.8,0.01,1.2370,1.9e+02,0.098
SKA1W9-12A72B120,0,0,800,-50,2.0-3.0arcsec,2,natural,0,3.1,12.50,4.05,12.76,7.92,0.96,5.6,5.9,,17,0.05,2.3459,1.8e+02,0.11
SKA1W9-12A72B120,0,0,800,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.7,12.50,3.42,18.88,6.51,0.97,6.7,6.8,,33,0.00,3.2528,2.1e+02,0.074
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,natural,0,2.3,14.45,6.33,6.01,11.54,1.00,4.2,4.2,,1.3,0.11,0.6506,1.3e+02,0.23
SKA1W9-0A72B120,0,0,1100,-30,1.0-2.0arcsec,1,natural,0,1.7,10.00,6.04,6.75,10.89,1.06,3,2.8,,5.6,0.06,1.3392,95,0.21
SKA1REF2,0,0,800,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,3.1,12.50,4.08,12.36,8.05,1.00,5.6,5.6,,5.4,0.02,1.3067,1.8e+02,0.11
SKA1W9-0A72B120,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,11,12.50,1.18,146.43,2.34,1.04,19,19,,2e+06,0.06,790.8485,6.1e+02,0.0096
SKA1W9-12A72B120,0,0,800,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.4,12.50,5.27,7.54,10.30,0.77,4.3,5.6,,4.9,0.00,1.2474,1.4e+02,0.19
SKASUR,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2,10.00,5.08,13.31,7.75,0.91,3.6,4,,5.2,0.13,1.2835,1.1e+02,1.4
SKA1W9-12A72B120,0,0,1100,-50,1.0-2.0arcsec,1,natural,0,1.5,10.00,6.71,5.37,12.20,0.95,2.7,2.9,,5.6,0.04,1.3312,86,0.26
SKASUR,0,0,800,-50,10.0-60.0arcmin,4,natural,0,26,12.50,0.48,869.81,0.96,2.54,47,19,,3e+06,0.20,975.8601,1.5e+03,0.021
SKASUR,0,0,1100,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.8,10.00,3.56,25.81,5.57,1.18,5.1,4.4,,16,0.05,2.2664,1.6e+02,0.7
SKA1W9-0A72B120,0,0,800,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,4.5,12.50,2.78,26.06,5.54,1.13,8.2,7.3,,16,0.01,2.2644,2.6e+02,0.054
SKASUR,0,0,1100,-10,1.0-2.0arcsec,1,natural,0,1.8,10.00,5.48,12.06,8.14,1.19,3.3,2.8,,5.8,0.14,1.3570,1.1e+02,1.5
SKA1REF2,0,0,800,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.6,12.50,4.83,8.41,9.75,1.00,4.7,4.7,,3.8,0.03,1.0930,1.5e+02,0.17
SKASUR,0,0,800,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.7,12.50,4.61,8.63,9.63,1.05,4.9,4.7,,6.4,0.18,1.4325,1.6e+02,2.1
SKA1W9-12A72B120,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,8.5,14.45,1.71,152.56,2.29,1.05,15,15,,1.7e+06,0.01,741.6808,4.9e+02,0.0092
SKASUR,0,0,1100,-10,2.0-3.0arcsec,2,natural,0,2.3,10.00,4.37,18.13,6.64,1.08,4.2,3.9,,17,0.04,2.3436,1.3e+02,0.99
SKASUR,0,0,1100,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.6,10.00,3.90,28.94,5.26,1.02,4.7,4.6,,34,0.00,3.2738,1.5e+02,0.62
SKA1W9-12A72B120,0,0,1100,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2,10.00,4.94,13.53,7.69,0.96,3.7,3.8,,16,0.01,2.2256,1.2e+02,0.1
SKA1W9-0A72B120,0,0,650,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,4.4,14.45,3.28,26.06,5.54,1.08,8,7.5,,16,0.00,2.2691,2.5e+02,0.054
SKA1W9-12A72B120,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,4.1,14.45,3.51,23.03,5.89,0.93,7.5,8.1,,33,0.00,3.2611,2.4e+02,0.061
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,4.4,14.45,3.31,27.44,5.40,1.14,7.9,7,,33,0.01,3.2514,2.5e+02,0.051
SKA1W9-0A72B120,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,10.00,6.83,6.57,11.03,0.95,2.7,2.8,,2.6,0.00,0.9055,84,0.21
SKA1W9-0A72B120,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.6,10.00,3.91,21.84,6.05,1.18,4.7,4,,16,0.00,2.2345,1.5e+02,0.064
SKA1REF2,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9.6,12.50,1.30,123.58,2.54,1.00,18,18,,2e+06,0.03,791.8471,5.6e+02,0.011
SKASUR,0,0,650,-50,3.0-4.0arcsec,3,natural,0,4.7,14.45,3.06,20.87,6.19,1.21,8.6,7.1,,36,0.08,3.3683,2.7e+02,0.86
SKA1W9-12A72B120,0,0,650,-50,2.0-3.0arcsec,2,natural,0,3,14.45,4.79,12.76,7.92,0.97,5.5,5.6,,17,0.05,2.3504,1.7e+02,0.11
SKA1W9-0A72B120,0,0,800,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,4.1,12.50,3.07,21.32,6.13,1.13,7.4,6.5,,16,0.01,2.2554,2.3e+02,0.066
SKA1REF2,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.9,10.00,5.15,12.98,7.85,1.00,3.5,3.5,,1.5,0.00,0.6990,1.1e+02,0.11
SKASUR,0,0,800,-50,1.0-2.0arcsec,1,natural,0,2.9,12.50,4.28,11.48,8.35,1.20,5.3,4.4,,5.8,0.26,1.3736,1.7e+02,1.6
SKA1REF2,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.7,10.00,6.05,9.84,9.02,1.00,3,3,,2.9,0.02,0.9675,95,0.14
